;school;sex;age;address;Pstatus;Mjob;guardian;traveltime;studytime;failures;paid;internet;health;absences;G1;G2;G3;APPROVED;EXTRA
0;GP;F;18;U;A;at_home;mother;2;2;0;no;no;3;6;5;6;6;0;0
1;GP;F;17;U;T;at_home;father;1;2;0;no;yes;3;4;5;5;6;0;0
2;GP;F;15;U;T;at_home;mother;1;2;3;yes;yes;3;10;7;8;10;1;1
3;GP;F;15;U;T;health;mother;1;3;0;yes;yes;5;2;15;14;15;1;0
4;GP;F;16;U;T;other;father;1;2;0;yes;no;5;4;6;10;10;1;1
5;GP;M;16;U;T;services;mother;1;2;0;yes;yes;5;10;15;15;15;1;0
6;GP;M;16;U;T;other;mother;1;2;0;no;yes;3;0;12;12;11;1;1
7;GP;F;17;U;A;other;mother;2;2;0;no;no;1;6;6;5;6;0;0
8;GP;M;15;U;A;services;mother;1;2;0;yes;yes;1;0;16;18;19;1;0
9;GP;M;15;U;T;other;mother;1;2;0;yes;yes;5;0;14;15;15;1;0
10;GP;F;15;U;T;teacher;mother;1;2;0;yes;yes;2;0;10;8;9;0;0
11;GP;F;15;U;T;services;father;3;3;0;no;yes;4;4;10;12;12;1;1
12;GP;M;15;U;T;health;father;1;1;0;yes;yes;5;2;14;14;14;1;1
13;GP;M;15;U;T;teacher;mother;2;2;0;yes;yes;3;2;10;10;11;1;1
14;GP;M;15;U;A;other;other;1;3;0;no;yes;3;0;14;16;16;1;0
15;GP;F;16;U;T;health;mother;1;1;0;no;yes;2;4;14;14;14;1;1
16;GP;F;16;U;T;services;mother;1;3;0;yes;yes;2;6;13;14;14;1;1
17;GP;F;16;U;T;other;mother;3;2;0;no;no;4;4;8;10;10;1;1
18;GP;M;17;U;T;services;mother;1;1;3;no;yes;5;16;6;5;5;0;0
19;GP;M;16;U;T;health;father;1;1;0;yes;yes;5;4;8;10;10;1;1
20;GP;M;15;U;T;teacher;mother;1;2;0;no;yes;1;0;13;14;15;1;0
21;GP;M;15;U;T;health;father;1;1;0;yes;yes;5;0;12;15;15;1;0
22;GP;M;16;U;T;teacher;mother;1;2;0;no;yes;5;2;15;15;16;1;0
23;GP;M;16;U;T;other;mother;2;2;0;no;yes;5;0;13;13;12;1;1
24;GP;F;15;R;T;services;mother;1;3;0;yes;yes;5;2;10;9;8;0;0
25;GP;F;16;U;T;services;mother;1;1;2;yes;yes;5;14;6;9;8;0;0
26;GP;M;15;U;T;other;mother;1;1;0;yes;yes;5;2;12;12;11;1;1
27;GP;M;15;U;T;health;mother;1;1;0;yes;yes;1;4;15;16;15;1;0
28;GP;M;16;U;A;services;mother;1;2;0;no;yes;5;4;11;11;11;1;1
29;GP;M;16;U;T;teacher;mother;1;2;0;yes;yes;5;16;10;12;11;0;0
30;GP;M;15;U;T;health;mother;1;2;0;yes;yes;5;0;9;11;12;1;1
31;GP;M;15;U;T;services;mother;2;2;0;no;yes;5;0;17;16;17;1;0
32;GP;M;15;R;T;teacher;mother;1;2;0;no;yes;5;0;17;16;16;1;0
