;school;sex;age;address;Pstatus;Mjob;guardian;traveltime;studytime;failures;paid;internet;health;absences;G1;G2;G3;APPROVED;EXTRA
0;GP;F;18;U;A;at_home;mother;2;2;0;no;no;3;4;0;11;11;1;1
1;GP;F;17;U;T;at_home;father;1;2;0;no;yes;3;2;9;11;11;1;1
2;GP;F;15;U;T;at_home;mother;1;2;0;no;yes;3;6;12;13;12;1;1
3;GP;F;15;U;T;health;mother;1;3;0;no;yes;5;0;14;14;14;1;1
4;GP;F;16;U;T;other;father;1;2;0;no;no;5;0;11;13;13;1;1
5;GP;M;16;U;T;services;mother;1;2;0;no;yes;5;6;12;12;13;1;1
6;GP;M;16;U;T;other;mother;1;2;0;no;yes;3;0;13;12;13;1;1
7;GP;F;17;U;A;other;mother;2;2;0;no;no;1;2;10;13;13;1;1
8;GP;M;15;U;A;services;mother;1;2;0;no;yes;1;0;15;16;17;1;0
9;GP;M;15;U;T;other;mother;1;2;0;no;yes;5;0;12;12;13;1;1
10;GP;F;15;U;T;teacher;mother;1;2;0;no;yes;2;2;14;14;14;1;1
11;GP;F;15;U;T;services;father;3;3;0;no;yes;4;0;10;12;13;1;1
12;GP;M;15;U;T;health;father;1;1;0;no;yes;5;0;12;13;12;1;1
13;GP;M;15;U;T;teacher;mother;2;2;0;no;yes;3;0;12;12;13;1;1
14;GP;M;15;U;A;other;other;1;3;0;no;yes;3;0;14;14;15;1;0
15;GP;F;16;U;T;health;mother;1;1;0;no;yes;2;6;17;17;17;1;0
16;GP;F;16;U;T;services;mother;1;3;0;no;yes;2;10;13;13;14;0;0
17;GP;F;16;U;T;other;mother;3;2;0;no;no;4;2;13;14;14;1;1
18;GP;M;17;U;T;services;mother;1;1;3;yes;yes;5;2;8;8;7;0;0
19;GP;M;16;U;T;health;father;1;1;0;no;yes;5;6;12;12;12;1;1
20;GP;M;15;U;T;teacher;mother;1;2;0;no;yes;1;0;12;13;14;1;1
21;GP;M;15;U;T;health;father;1;1;0;yes;yes;5;0;11;12;12;1;1
22;GP;M;16;U;T;teacher;mother;1;2;0;no;yes;5;0;12;13;14;1;1
23;GP;M;16;U;T;other;mother;2;2;0;no;yes;5;2;10;10;10;1;1
24;GP;F;15;R;T;services;mother;1;3;0;no;yes;5;2;10;11;10;1;1
25;GP;F;16;U;T;services;mother;1;1;0;no;yes;5;6;10;11;12;1;1
26;GP;M;15;U;T;other;mother;1;1;0;no;yes;5;8;11;12;12;0;0
27;GP;M;15;U;T;health;mother;1;1;0;no;yes;1;0;11;11;11;1;1
28;GP;M;16;U;A;services;mother;1;2;0;yes;yes;5;2;12;12;13;1;1
29;GP;M;16;U;T;teacher;mother;1;2;0;yes;yes;5;4;12;11;12;1;1
30;GP;M;15;U;T;health;mother;1;2;0;yes;yes;5;0;10;11;11;1;1
